Insider Trading,Relationship,Date,Transaction,Cost,Shares,Value ($),Shares Total,SEC Form 4
Jain Akhil,"SVP, Consulting",2022-02-10,Option Exercise,0.0,"1,938",0,"1,938",Feb 11 05:07 PM
Kaufman Jules,"EVP, GC",2022-02-10,Option Exercise,0.0,"3,667",0,"11,033",Feb 11 05:09 PM
Sribar Valentin,"SVP, Research & Advisory",2022-02-10,Option Exercise,0.0,485,0,"10,877",Feb 11 05:02 PM
Kranich Robin B,EVP & CHRO,2022-02-10,Option Exercise,0.0,"3,667",0,"14,592",Feb 11 05:05 PM
Beck Joseph P.,"EVP, Global Technology Sales",2022-02-10,Option Exercise,0.0,"3,100",0,"12,232",Feb 11 05:21 PM
HALL EUGENE A,CEO,2022-02-10,Option Exercise,0.0,"20,939",0,"1,198,360",Feb 11 05:13 PM
Allard Kenneth,EVP & CMO,2022-02-10,Option Exercise,0.0,"2,470",0,"4,993",Feb 11 05:23 PM
Diliberto Michael Patrick,"EVP, Chief Information Officer",2022-02-10,Option Exercise,0.0,"3,584",0,"14,627",Feb 11 05:18 PM
Kranich Robin B,EVP & CHRO,2022-02-08,Option Exercise,0.0,"3,559",0,"12,894",Feb 10 05:08 PM
Beck Joseph P.,"EVP, Global Technology Sales",2022-02-08,Option Exercise,0.0,"2,439",0,"10,168",Feb 10 05:07 PM
HALL EUGENE A,CEO,2022-02-08,Option Exercise,0.0,"20,524",0,"1,185,618",Feb 10 05:06 PM
Kaufman Jules,"EVP, GC",2022-02-08,Option Exercise,0.0,"3,139",0,"8,969",Feb 10 05:05 PM
Diliberto Michael Patrick,"EVP, Chief Information Officer",2022-02-08,Option Exercise,0.0,"2,904",0,"12,389",Feb 10 05:02 PM
Genovese Yvonne,"EVP, Global Product Management",2022-02-08,Option Exercise,0.0,492,0,"1,367",Feb 10 05:04 PM
Herkes Claire,"EVP, Conferences",2022-02-08,Option Exercise,0.0,547,0,"2,846",Feb 10 05:01 PM
Allard Kenneth,EVP & CMO,2022-02-08,Option Exercise,0.0,328,0,"2,656",Feb 10 04:59 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-02-08,Option Exercise,0.0,"3,559",0,"48,377",Feb 10 04:58 PM
Sribar Valentin,"SVP, Research & Advisory",2022-02-08,Option Exercise,0.0,601,0,"10,573",Feb 10 04:57 PM
Hensel Scott,EVP Global Services & Delivery,2022-02-08,Option Exercise,0.0,"3,139",0,"9,164",Feb 10 04:56 PM
Safian Craig,EVP & CFO,2022-02-08,Option Exercise,0.0,"5,164",0,"61,615",Feb 10 04:55 PM
Sribar Valentin,"SVP, Research & Advisory",2022-02-06,Option Exercise,0.0,481,0,"10,117",Feb 08 06:09 PM
Herkes Claire,"EVP, Conferences",2022-02-06,Option Exercise,0.0,437,0,"2,436",Feb 08 06:11 PM
Genovese Yvonne,"EVP, Global Product Management",2022-02-06,Option Exercise,0.0,437,0,997,Feb 08 06:14 PM
Beck Joseph P.,"EVP, Global Technology Sales",2022-02-06,Option Exercise,0.0,"2,167",0,"8,374",Feb 08 06:17 PM
Safian Craig,EVP & CFO,2022-02-06,Option Exercise,0.0,"4,932",0,"58,943",Feb 08 06:22 PM
Hensel Scott,EVP Global Services & Delivery,2022-02-06,Option Exercise,0.0,"2,739",0,"7,074",Feb 08 06:54 PM
Allard Kenneth,EVP & CMO,2022-02-06,Option Exercise,0.0,262,0,"2,434",Feb 08 06:41 PM
Kaufman Jules,"EVP, GC",2022-02-06,Option Exercise,0.0,"2,786",0,"7,032",Feb 08 06:49 PM
Dawkins Alwyn,"EVP, Global Business Sales",2022-02-06,Option Exercise,0.0,"2,976",0,"45,904",Feb 08 06:25 PM
HALL EUGENE A,CEO,2022-02-06,Option Exercise,0.0,"17,358",0,"1,172,027",Feb 08 06:28 PM
Diliberto Michael Patrick,"EVP, Chief Information Officer",2022-02-06,Option Exercise,0.0,"2,566",0,"10,433",Feb 08 06:33 PM
